Database entry; RomName; Rom; Vid; Thm; Whl; Art1; Art2; Art3; Art4; Snd; crc; Manufacturer; Year; Genre
Tak - Mojo Mistake; Tak - Mojo Mistake (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Take a Break's Puzzle Bonanza; Take a Break's Puzzle Bonanza (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Road to Vegas; Road to Vegas (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Roary - The Racing Car; Roary - The Racing Car (Europe) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Robocalypse; Robocalypse (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tak - The Great Juju Challenge; Tak - The Great Juju Challenge (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Ys Strategy; Ys Strategy (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Rock Blast; Rock Blast (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Take a Break's Puzzle Master; Take a Break's Puzzle Master (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Rockin' Pretty; Rockin' Pretty (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rollercoaster Park; Rollercoaster Park (Europe) (En,Fr,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rollin' Rascals; Rollin' Rascals (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rondo of Swords; Rondo of Swords (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Roogoo Attack!; Roogoo Attack! (USA) (En,Fr,De,Es,It) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Rooms - The Main Building; Rooms - The Main Building (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tales to Enjoy! - Little Red Riding Hood; Tales to Enjoy! - Little Red Riding Hood (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tales to Enjoy! - The Ugly Duckling; Tales to Enjoy! - The Ugly Duckling (Europe) (En,Fr,De,Es,It,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Youda Legend - The Golden Bird of Paradise; Youda Legend - The Golden Bird of Paradise (Europe) (En,Fr,De) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Runaway - A Twist of Fate; Runaway - A Twist of Fate (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Runaway - The Dream of the Turtle; Runaway - The Dream of the Turtle (Europe) (En,Fr,De); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Runaway - The Dream of the Turtle; Runaway - The Dream of the Turtle (Europe) (En,Fr,De,Es,It) (Rev 1); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
WWE SmackDown vs Raw 2008 featuring ECW; WWE SmackDown vs Raw 2008 featuring ECW (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Tamagotchi Connection - Corner Shop 3; Tamagotchi Connection - Corner Shop 3 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Youda Farmer; Youda Farmer (Europe) (En,Fr,De) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Safari Adventures - Africa; Safari Adventures - Africa (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Safecracker - The Ultimate Puzzle Challenge!; Safecracker - The Ultimate Puzzle Challenge! (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sally's Salon; Sally's Salon (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sam Power - Footballer; Sam Power - Footballer (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Samantha Swift and the Hidden Roses of Athena; Samantha Swift and the Hidden Roses of Athena (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Tamagotchi Connection - Corner Shop 2; Tamagotchi Connection - Corner Shop 2 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Santa Claus is Comin' to Town; Santa Claus is Comin' to Town (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Sarah - Keeper of the Unicorn; Sarah - Keeper of the Unicorn (USA) (En,Es) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Satisfashion - Rock the Runway; Satisfashion - Rock the Runway (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
SBK - Snowboard Kids; SBK - Snowboard Kids (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Scene It Twilight; Scene It Twilight (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Schatz der Delfine, Der; Schatz der Delfine, Der (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tank Beat; Tank Beat (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Teenage Mutant Ninja Turtles - Arcade Attack; Teenage Mutant Ninja Turtles - Arcade Attack (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scooby-Doo! - Unmasked; Scooby-Doo! - Unmasked (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scooby-Doo! - Who's Watching Who; Scooby-Doo! - Who's Watching Who (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Scooby-Doo! and the Spooky Swamp; Scooby-Doo! and the Spooky Swamp (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scrabble - Crossword Game; Scrabble - Crossword Game (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Worms - Open Warfare 2; Worms - Open Warfare 2 (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scrabble Interactive - 2009 Edition; Scrabble Interactive - 2009 Edition (Europe) (En,Fr) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scribblenauts; Scribblenauts (USA) (En,Fr,Es,Pt) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scripps Spelling Bee; Scripps Spelling Bee (USA) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Scurge - Hive; Scurge - Hive (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sea Monsters - A Prehistoric Adventure; Sea Monsters - A Prehistoric Adventure (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Telly Addicts; Telly Addicts (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Secret Files - Tunguska; Secret Files - Tunguska (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tennis Elbow; Tennis Elbow (Europe) (En,Fr,De,Es,It,Nl,Pt) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Secret Flirts - Make Everyone Fall For You!; Secret Flirts - Make Everyone Fall For You! (Europe) (En,Fr,De,Es,It,Nl) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Worms - Open Warfare; Worms - Open Warfare (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Secrets of the Titanic 1912-2012; Secrets of the Titanic 1912-2012 (Europe) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tetris Party Deluxe; Tetris Party Deluxe (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Texas Hold 'em Poker DS; Texas Hold 'em Poker DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Yoshi's Island DS; Yoshi's Island DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Settlers, The; Settlers, The (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Shamu's Deep Sea Adventures; Shamu's Deep Sea Adventures (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
World Snooker Championship - Season 2007-08; World Snooker Championship - Season 2007-08 (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Shaun the Sheep; Shaun the Sheep (USA) (En,Ja,Fr,De,Es,It) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Shaun the Sheep - Off His Head; Shaun the Sheep - Off His Head (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Shaun White Snowboarding; Shaun White Snowboarding (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
That's So Raven - Psychic on the Scene; That's So Raven - Psychic on the Scene (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Shepherd's Crossing 2 DS; Shepherd's Crossing 2 DS (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Theresia..; Theresia.. (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sherlock Holmes and the Mystery of Osborne House; Sherlock Holmes and the Mystery of Osborne House (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Think - Training fuer den Kopf - Sinnes Trainer; Think - Training fuer den Kopf - Sinnes Trainer (Europe) (En,Fr,De,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
ThinkSmart - Chess for Kids; ThinkSmart - Chess for Kids (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
World Ends with You, The; World Ends with You, The (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Shining Stars - Super Starcade; Shining Stars - Super Starcade (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
World of Zoo; World of Zoo (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
ThinkSmart - Labyrinth; ThinkSmart - Labyrinth (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Shrek - Forever After; Shrek - Forever After (USA) (En,Fr) (NDSi Enhanced) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
World Championship Poker - Deluxe Series; World Championship Poker - Deluxe Series (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Shrek - Smash n' Crash Racing; Shrek - Smash n' Crash Racing (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
World Cup of Pool; World Cup of Pool (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Shrek the Third; Shrek the Third (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
ThinkSmart - Power Up Your Brain!; ThinkSmart - Power Up Your Brain! (USA) (Rev 1); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
ThinkSmart - Power Up Your Brain! - Kids 8+; ThinkSmart - Power Up Your Brain! - Kids 8+ (USA) (Rev 1); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Yoshi Touch & Go; Yoshi Touch & Go (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Sightseeing Puzzle - Echter Puzzlespass fuer Unterwegs; Sightseeing Puzzle - Echter Puzzlespass fuer Unterwegs (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sillybandz DS; Sillybandz DS (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Wordmaster; Wordmaster (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SimAnimals; SimAnimals (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SimAnimals - Africa; SimAnimals - Africa (USA) (En,Ja,Fr,De,Nl,Pt) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SimCity - Creator; SimCity - Creator (USA) (En,Fr,Es) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Thomas & Friends - Hero of the Rails; Thomas & Friends - Hero of the Rails (Europe); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Simpsons Game, The; Simpsons Game, The (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Sims 2, The; Sims 2, The (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sims 2, The - Apartment Pets; Sims 2, The - Apartment Pets (USA) (En,Fr,De,Es,It,Nl) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sims 2, The - Castaway; Sims 2, The - Castaway (USA) (En,Fr,De,Es,It,Nl,Pt); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Thrillville - Off the Rails; Thrillville - Off the Rails (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tierbabys Puzzle - Echter Puzzlespass fuer Unterwegs; Tierbabys Puzzle - Echter Puzzlespass fuer Unterwegs (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Six Flags Fun Park; Six Flags Fun Park (USA) (En,Fr) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Skate It; Skate It (USA) (En,Fr,De,Es,It,Nl) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Slingo Quest; Slingo Quest (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smart Boy's Gameroom; Smart Boy's Gameroom (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Boy's Gameroom 2; Smart Boy's Gameroom 2 (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smart Boy's Toys Club; Smart Boy's Toys Club (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Boy's Winter Wonderland; Smart Boy's Winter Wonderland (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smart Girl's Magical Book Club; Smart Girl's Magical Book Club (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Girl's Party Game; Smart Girl's Party Game (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Girl's Playhouse; Smart Girl's Playhouse (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Girl's Playhouse 2; Smart Girl's Playhouse 2 (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smart Girl's Winter Wonderland; Smart Girl's Winter Wonderland (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smart Kid's Gameclub; Smart Kid's Gameclub (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Smart Kid's Mega Game Mix; Smart Kid's Mega Game Mix (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
ThunderCats; ThunderCats (USA) (En,Fr,De,Es,It).; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Time Hollow; Time Hollow (USA) (En,Fr) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Smurfs, The; Smurfs, The (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SNK vs. Capcom - Card Fighters DS; SNK vs. Capcom - Card Fighters DS (USA) (Rev 1); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SNK vs. Capcom - Card Fighters DS; SNK vs. Capcom - Card Fighters DS (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Wordfish; Wordfish (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
TINCan! Escape; TINCan! Escape (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sokoban DS; Sokoban DS (Europe) (En,Fr,De,Es,It) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Solatorobo - Red the Hunter; Solatorobo - Red the Hunter (USA) (En,Fr,De,Es,It) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Solitaire; Solitaire (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Solitaire Mahjong - Ancient China Adventure; Solitaire Mahjong - Ancient China Adventure (Europe) (En,Fr,De,Es,It) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Solitaire Overload; Solitaire Overload (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Timmy Time; Timmy Time (Europe) (En,Fr,De,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonic & Sega All-Stars Racing; Sonic & Sega All-Stars Racing (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonic Chronicles - The Dark Brotherhood; Sonic Chronicles - The Dark Brotherhood (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonic Classic Collection; Sonic Classic Collection (USA) (En,Fr,Es) (NDSi Enhanced) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tinker Bell; Tinker Bell (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonic Rush; Sonic Rush (USA) (En,Ja,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonic Rush Adventure; Sonic Rush Adventure (USA) (En,Ja,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sonny with a Chance; Sonny with a Chance (USA) (En,Fr,Es) (NDSi Enhanced) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tinker Bell and the Great Fairy Rescue; Tinker Bell and the Great Fairy Rescue (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Soul Bubbles; Soul Bubbles (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Bust-A-Move; Space Bust-A-Move (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Camp; Space Camp (USA) (En,Fr) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Chimps; Space Chimps (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Invaders Extreme; Space Invaders Extreme (USA) (En,Ja,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Invaders Extreme 2; Space Invaders Extreme 2 (USA) (En,Ja,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Space Invaders Revolution; Space Invaders Revolution (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Titanic Mystery; Titanic Mystery (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spectral Force - Genesis; Spectral Force - Genesis (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spectrobes; Spectrobes (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spectrobes - Beyond the Portals; Spectrobes - Beyond the Portals (USA) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Speed Racer - The Videogame; Speed Racer - The Videogame (USA) (En,Fr,Es,Pt); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spelling Challenges and More!; Spelling Challenges and More! (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spider-Man - Battle for New York; Spider-Man - Battle for New York (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Tokyo Beat Down; Tokyo Beat Down (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spider-Man - Friend or Foe; Spider-Man - Friend or Foe (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spider-Man - Shattered Dimensions; Spider-Man - Shattered Dimensions (USA) (En,Fr); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spider-Man - Web of Shadows; Spider-Man - Web of Shadows (USA) (En,Fr) [b]; YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spider-Man 2; Spider-Man 2 (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spider-Man 3; Spider-Man 3 (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spiderwick Chronicles, The; Spiderwick Chronicles, The (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spitfire Heroes - Tales of the Royal Air Force; Spitfire Heroes - Tales of the Royal Air Force (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Tomb Raider - Underworld; Tomb Raider - Underworld (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Wonder World - Amusement Park; Wonder World - Amusement Park (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tony Hawk's Motion; Tony Hawk's Motion (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
SpongeBob vs the Big One - Beach Party Cook-Off; SpongeBob vs the Big One - Beach Party Cook-Off (USA) (En,Fr) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SpongeBob's Atlantis SquarePantis; SpongeBob's Atlantis SquarePantis (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
SpongeBob's Boating Bash; SpongeBob's Boating Bash (USA) (NDSi Enhanced) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
SpongeBob's Surf & Skate - Roadtrip; SpongeBob's Surf & Skate - Roadtrip (Europe) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Wonder Pets! - Save the Animals!; Wonder Pets! - Save the Animals! (USA) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tootuff - Megafun Land; Tootuff - Megafun Land (Europe) (En,Fr) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Spore Hero Arena; Spore Hero Arena (USA) (En,Fr,De,Es,It,Nl) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sports Collection; Sports Collection (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Wizards of Waverly Place - Spellbound; Wizards of Waverly Place - Spellbound (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spy Kids - All the Time in the World; Spy Kids - All the Time in the World (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Spyro - Shadow Legacy; Spyro - Shadow Legacy (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Squeeballs Party; Squeeballs Party (USA) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Squinkies - Surprize Inside; Squinkies - Surprize Inside (USA); YES; NO; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Squinkies 2 - Adventure Mall Surprize!; Squinkies 2 - Adventure Mall Surprize! (USA) (En,Fr); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Squishy Tank; Squishy Tank (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Star Fox Command; Star Fox Command (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Star Trek - Tactical Assault; Star Trek - Tactical Assault (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Star Wars - Battlefront - Elite Squadron; Star Wars - Battlefront - Elite Squadron (USA) (En,Fr) [b]; NO; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Tootuff's World; Tootuff's World (Europe) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Yard Sale Hidden Treasures - Sunnyville; Yard Sale Hidden Treasures - Sunnyville (USA) (En,Fr,Es) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Star Wars - The Clone Wars - Jedi Alliance; Star Wars - The Clone Wars - Jedi Alliance (USA) (En,Fr,De,Es) [b]; NO; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Star Wars - The Clone Wars - Republic Heroes; Star Wars - The Clone Wars - Republic Heroes (USA) (En,Fr,De,Es,It); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Star Wars - The Force Unleashed; Star Wars - The Force Unleashed (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Star Wars - The Force Unleashed II; Star Wars - The Force Unleashed II (USA) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Top Trumps - Dogs & Dinosaurs; Top Trumps - Dogs & Dinosaurs (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Totally Spies! - My Secret Diary; Totally Spies! - My Secret Diary (Europe) (En,Fr,Es,Nl) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Sternentaenzer - Das Geheimnisvolle Pferd; Sternentaenzer - Das Geheimnisvolle Pferd (Europe) (En,De) [b]; YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Stitch Jam; Stitch Jam (USA); YES; YES; NO; NO; NO; NO; YES; NO; NO; ; ; ; 
Stratego - Next Edition; Stratego - Next Edition (Europe) (En,Fr,De,Es,Nl); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Strawberry Shortcake - Strawberryland Games; Strawberry Shortcake - Strawberryland Games (USA) (En,Fr,Es); YES; YES; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Strawberry Shortcake - The Four Seasons Cake; Strawberry Shortcake - The Four Seasons Cake (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Street Football; Street Football (Europe) (En,Fr,De,Es,It); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
Style Lab - Fashion Design; Style Lab - Fashion Design (USA) (En,Fr,Es); YES; NO; NO; NO; NO; NO; NO; NO; NO; ; ; ; 
